HR_TD_Mean,HR_TD_Median,HR_TD_std,HR_TD_Min,HR_TD_Max,HR_TD_AUC,HR_TD_Kurtosis,HR_TD_Skew,HR_TD_Slope_min,HR_TD_Slope_max,HR_TD_Slope_mean,HR_TD_Slope,TEMP_TD_Mean,TEMP_TD_Median,TEMP_TD_std,TEMP_TD_Min,TEMP_TD_Max,TEMP_TD_AUC,TEMP_TD_Kurtosis,TEMP_TD_Skew,TEMP_TD_Slope_min,TEMP_TD_Slope_max,TEMP_TD_Slope_mean,TEMP_TD_Slope,EDA_TD_P_Mean,EDA_TD_P_Median,EDA_TD_P_std,EDA_TD_P_Min,EDA_TD_P_Max,EDA_TD_P_AUC,EDA_TD_P_Kurtosis,EDA_TD_P_Skew,EDA_TD_P_Slope_min,EDA_TD_P_Slope_max,EDA_TD_P_Slope_mean,EDA_TD_P_Slope,EDA_TD_T_Mean,EDA_TD_T_Median,EDA_TD_T_std,EDA_TD_T_Min,EDA_TD_T_Max,EDA_TD_T_AUC,EDA_TD_T_Kurtosis,EDA_TD_T_Skew,EDA_TD_T_Slope_min,EDA_TD_T_Slope_max,EDA_TD_T_Slope_mean,EDA_TD_T_Slope,EDA_TD_P_Peaks,EDA_TD_P_RT,EDA_TD_P_ReT,Round,Phase,Individual,Puzzler,original_ID,raw_data_path,Team_ID,Frustrated,Cohort,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined,cluster
0.3533584515466776,76.7,0.5281045910524771,67.25,92.48,23048.45,-1.0914478709535689,0.3699553522824901,-0.7300000000000004,0.9775000000000028,0.044590395480226,0.046701030927835,0.914941088954832,31.11,0.1638948209049214,30.59,31.31,36593.14,1.3495698380567989,-1.352915452378718,-0.0022857142857143,0.000377358490566,-0.000588679245283,-0.0004545454545454,-0.3409559355611002,6.003708822848889e-06,-0.3348506479634534,-0.0061846063309729,0.0073748930576751,0.2027116559262709,28.46771565403576,1.0916956120265582,-0.0002001278093096,0.0001980528408,0.014917185650441,4.360220392958131e-06,0.1812860732619985,0.1826954980147293,0.0037437677981892,0.1694404667307791,0.1868158780160627,213.3741143299553,1.3459970313005023,-1.379434197548966,-0.0001437773759672,0.0001376529135502,1.0198300293236654e-05,1.0360399390215387e-05,-0.734372573382321,2.522727272727273,2.075,round_3,phase3,1,1,19.0,dataset/D1_4/ID_1/round_3/phase3,D1_4_Team10,2.0,D1_4,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1
-0.0280119961582639,76.61,-0.984940807166624,69.82,82.33,23959.92,-0.2453381303984101,0.3387322381081591,-0.3600000000000041,0.1900000000000012,-0.0280952380952382,-0.0241479099678456,0.6479348074968518,30.93,0.0837659239940968,30.81,31.17,38826.240000000005,0.1778715735074754,0.8988943459994073,-0.0010619469026548,0.0007142857142857,0.0002323008849557,0.00024115755627,-0.2962016623551596,3.4752838515013794e-05,-0.3171330707899431,0.0,0.0084616520578685,0.6143821217021455,18.45550910308388,3.948750668931574,-0.0002729658280171,0.0004514636754505,0.2809049169156034,-2.6175845491979456e-06,0.1699092311939044,0.1696165889845135,0.0029762353786873,0.1645042356971148,0.1792734925070851,213.23537977327337,0.8870104309215443,0.8540668773747919,-0.0001463186192687,0.0001649445823343,8.914870448878803e-06,7.714503250836627e-06,0.3338057151737822,2.2142857142857144,2.1923076923076925,round_3,phase2,1,1,19.0,dataset/D1_4/ID_1/round_3/phase2,D1_4_Team10,3.0,D1_4,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1
0.2652856206024168,77.92,-0.9551147861349656,72.22,82.8,20324.605,-0.6159223292474465,-0.2330469137323161,-0.629999999999999,0.3575000000000017,-0.0242019230769231,-0.0260077519379844,0.2948243166228413,30.75,0.0780378602550898,30.59,30.89,31964.72,-0.956503247661748,-0.1430413962493252,-0.0009615384615384,0.0007766990291262,-8.484773047879277e-05,-0.0001554907677356,-0.3433986380301105,2.1106748867476566e-06,-0.3752950642166185,0.0,0.0055496513273016,0.161121736328725,36.76844232467813,5.151764078407224,-4.450874853041592e-05,5.356838638861506e-05,0.1598346413249627,-1.08481535640123e-06,0.1667980098520549,0.1667062556007896,0.0022663111135131,0.1620360552888392,0.172624058177547,173.465157478869,0.2058167032067617,0.4805806016311066,-0.0001122586525225,0.0001317309482394,1.5470209216339749e-06,1.7999139105958474e-06,-1.0014171455213468,1.9722222222222223,2.111111111111111,round_3,phase1,1,1,19.0,dataset/D1_4/ID_1/round_3/phase1,D1_4_Team10,2.0,D1_4,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1
1.1454716707083747,83.88,0.4921136415203334,69.42,96.12,24924.300000000003,-0.8666102140944028,-0.0460205321559923,-0.4649999999999998,0.6500000000000021,0.0213750000000003,0.021476510067114,-0.1078805642164466,30.29,0.36608929057717,30.11,31.15,36758.35,-1.513909593894107,0.5039214451697388,-0.0005555555555555,0.0029629629629629,0.0006666666666666,0.0007035175879396,-0.2702482249558042,1.8012490528553828e-05,-0.2592736143391061,0.0,0.0127840028468536,0.8112705353837076,19.04523541653415,4.165663555416956,-0.0002708138974233,0.0003087902108142,0.3303996362572464,-5.062887618248505e-08,0.1592924501998934,0.1580335756863118,0.0047888290646329,0.1483684991600186,0.1754956453240995,191.9433897481496,2.488338865370407,1.246665275236338,-0.000454683393177,0.0004810160214393,-1.0426869264971308e-06,-1.3551507952084617e-07,-0.4673280012432951,1.8863636363636365,1.805555555555556,round_2,phase3,1,1,19.0,dataset/D1_4/ID_1/round_2/phase3,D1_4_Team10,2.0,D1_4,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1
-0.7931225706710928,72.91,-0.7967081808917514,64.95,79.98,23052.1,0.2004005905348105,-0.5609480447004516,-0.3724999999999987,0.3374999999999986,-0.0135546875000001,-0.0128706624605678,-0.4094015404162555,30.35,0.1101193189933489,30.11,30.53,38795.380000000005,-1.4562550653229345,-0.1719291500423265,-0.0009615384615384,0.0001923076923076,-0.0003141858141858,-0.0002996845425867,-0.2009430043058403,7.370693647397236e-05,-0.1666202199503383,-0.0019922329517932,0.022953973959749,1.4840853747825546,20.99811064026324,4.209073599891137,-0.0006457871865378,0.000638985368841,0.4826004989491521,1.3443671362168224e-05,0.1503872495342171,0.1478947072934971,0.0064733136610969,0.1430033737121152,0.1681063740751912,192.3411804289629,1.19650843335594,1.5920987075270134,-0.0004195901374036,0.0003341742523084,1.3641979519756318e-05,1.2671979461311132e-05,1.6690285758689112,1.8125,1.9264705882352944,round_2,phase2,1,1,19.0,dataset/D1_4/ID_1/round_2/phase2,D1_4_Team10,2.0,D1_4,3.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,1
1.5592515329693792,82.82,1.9346672869849943,73.75,132.63,25763.44,4.002252096151411,2.0699310407033904,-1.5474999999999994,0.3066666666666672,-0.1647404371584698,-0.1732999999999999,-1.1796890536785989,29.81,0.2906519847565407,29.59,30.81,36139.12,2.538991681563103,1.804921826296304,-0.002037037037037,0.0049999999999999,0.0009351851851851,0.0009181969949916,-0.353202201621492,1.1747248924975669e-06,-0.391026900689325,-0.0008499885258671,0.0017298672299155,0.1032362766637455,13.106717817439918,2.935300770650988,-7.117938420198944e-05,9.128583081969632e-05,0.2571563189516038,5.169232132857671e-07,0.1376676154555291,0.137376752215577,0.0015442142848578,0.1351884437803592,0.1433580199104288,166.43708731813672,1.5923090293571631,1.0955961398906926,-5.815874467473189e-05,6.236960588817027e-05,4.404718383394754e-06,4.373949912772619e-06,-0.2002834291042693,2.8125,2.15,round_2,phase1,1,1,19.0,dataset/D1_4/ID_1/round_2/phase1,D1_4_Team10,2.0,D1_4,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,1
-2.034977431690183,65.3,-1.0098668044520902,60.73,72.2,20064.305,-0.8929138405511012,0.0865668919899883,-0.5625,0.2650000000000005,-0.0211559139784947,-0.0204590163934426,1.5085476089485,31.41,0.0938225400744763,31.29,31.69,38721.06,0.3141491525315789,1.017105375238432,-0.0007272727272727,0.0007272727272727,0.000272072072072,0.0002948402948402,3.167464105811926,0.0044841626651574,3.1576409129213685,-0.0034282625275034,0.2651129822980992,30.860258462545023,6.215212045227927,2.38827354132143,-0.004728689213414,0.0066305680523494,-3.128604072768589,-2.148226975736273e-06,0.5273158599232838,0.5610444059507744,0.2960465238334654,0.1883866754297969,1.0089475029928836,649.7863544204514,-1.596229102700858,0.0856058717554096,-0.0050703303714451,0.0076372201382268,0.0003099553982921,0.0003334211371153,1.6690285758689112,2.1875,2.088235294117647,round_4,phase3,1,1,19.0,dataset/D1_4/ID_1/round_4/phase3,D1_4_Team10,0.0,D1_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
-0.0276474609753171,75.58,-0.0778917160473534,66.88,85.7,24034.395,-1.163382463768065,0.0438457267337109,-0.677500000000002,0.4649999999999998,0.0485317460317461,0.0489423076923076,0.8720892699795986,31.05,0.058566370845317,30.95,31.23,39111.41,-0.1337706036847459,0.4548693237246827,-0.0007079646017699,0.0008849557522124,0.0001061946902654,0.0001201923076923,-0.1947402562487718,0.0001349565397925,-0.1440890803398462,0.0,0.0339596696920322,1.5219294674918626,51.18807971798887,6.416646244725824,-0.000481804251428,0.0003075534327948,0.2706056279890028,-1.9988585041807914e-06,0.1876170667699175,0.187839260872558,0.0028143425955535,0.1761096871364398,0.1985625548441051,236.21205827278257,5.728806196351071,-0.120221169756888,-0.000418349093587,0.0005742931715184,-3.397345950657869e-06,-3.2465760462749567e-06,0.3338057151737822,1.9285714285714288,1.9107142857142856,round_4,phase2,1,1,19.0,dataset/D1_4/ID_1/round_4/phase2,D1_4_Team10,0.0,D1_4,1.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,1
-1.0779122291872951,71.375,-0.6791769621350082,64.38,77.85,21558.85,-0.8576705092793313,-0.0576172190454397,-0.2925000000000004,0.2300000000000004,-0.0056311475409837,-0.0116501650165016,0.8581761079429012,31.09,0.1161439178265406,30.85,31.21,37890.37,-1.5592307203046218,-0.2478192212644349,-0.001834862385321,0.0011009174311926,-5.004170141784418e-07,1.6542597187758126e-05,-0.3420029238364408,1.1786322007714562e-06,-0.3796242942537595,-5.006150238417409e-05,0.0032849348093274,0.2010485850388704,19.812649184653647,3.89013453620774,-6.978362650465212e-05,7.056725771938444e-05,0.269524259543291,-2.190100632845009e-06,0.1899533692369864,0.1885752800607272,0.0029837663490311,0.1860635362339971,0.19655660726161,231.74391017006675,-0.9321002676462378,0.6097168440178692,-0.0001102240135734,8.066355512607408e-05,-5.008568687302147e-06,-4.689363697904649e-06,-0.2002834291042693,2.4615384615384617,2.020833333333333,round_4,phase1,1,1,19.0,dataset/D1_4/ID_1/round_4/phase1,D1_4_Team10,1.0,D1_4,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1
0.2124781934769677,78.75,-0.0178811971757709,65.73,85.98,23835.07,-0.5745972521061771,-0.6188537578839735,-0.427500000000002,0.3375000000000021,-0.0212295081967212,-0.0213815789473684,-1.1648896992771116,30.11,0.3536405820727553,29.19,30.25,36658.130000000005,-0.877656785509048,-0.7964828961376669,-0.0029357798165137,0.0014678899082568,-0.0005753961634695,-0.0006255144032921,-0.355661712937678,1.1742706704257264e-07,-0.3819937455342354,-0.0023624722856591,0.0027935153697088,0.083303677081473,22.848905450777902,1.0540666950762003,-0.0001185120681689,0.0001315361407143,0.2122214703443789,1.5319309449491327e-06,0.1288245542357332,0.1285463919002024,0.0013200703071578,0.1259256381622845,0.1327292533130126,157.93784610335047,0.0098825230088914,0.4878251989352596,-0.0001504632604187,0.0001107159573033,-5.771558844130855e-07,9.812145834108382e-07,-1.0014171455213468,2.583333333333333,2.75,round_1,phase3,1,1,19.0,dataset/D1_4/ID_1/round_1/phase3,D1_4_Team10,2.0,D1_4,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,1
